Tube,CPM,Sample,Organism
Tube1,121.00,Cells,Blank
Tube1,45.00,Cells,Blank
Tube1,20351.0,Supp,Blank
Tube1,20651.0,Supp,Blank
Tube1,172.50,Trap,Blank
Tube1,153.00,Trap,Blank
Tube2,41.50,Cells,KC
Tube2,36.00,Cells,KC
Tube2,16363.0,Supp,KC
Tube2,16595.0,Supp,KC
Tube2,137.00,Trap,KC
Tube2,135.00,Trap,KC
Tube3,7428.50,Cells,KBS0707
Tube3,8863.00,Cells,KBS0707
Tube3,14552.5,Supp,KBS0707
Tube3,14954.0,Supp,KBS0707
Tube3,15652.0,Trap,KBS0707
Tube3,15681.5,Trap,KBS0707
Tube4,7113.00,Cells,KBS0707
Tube4,7209.50,Cells,KBS0707
Tube4,14750.5,Supp,KBS0707
Tube4,14952.0,Supp,KBS0707
Tube4,13659.0,Trap,KBS0707
Tube4,13707.5,Trap,KBS0707
Tube5,7488.00,Cells,KBS0707
Tube5,8654.00,Cells,KBS0707
Tube5,14295.0,Supp,KBS0707
Tube5,15411.0,Supp,KBS0707
Tube5,15465.0,Trap,KBS0707
Tube5,15758.5,Trap,KBS0707
Voucher,965438,,
Control,27.00,,
