Tube,CPM,Sample,Organism
Tube1,27.50,Cells,Blank
Tube1,1403.50,Cells,Blank
Tube1,18457.0,Supp,Blank
Tube1,17775.0,Supp,Blank
Tube1,1489.50,Trap,Blank
Tube1,3321.50,Trap,Blank
Tube2,58.50,Cells,KC
Tube2,87.50,Cells,KC
Tube2,16809.0,Supp,KC
Tube2,18517.5,Supp,KC
Tube2,1995.50,Trap,KC
Tube2,2261.50,Trap,KC
Tube3,18189.5,Cells,KBS0802
Tube3,22786.0,Cells,KBS0802
Tube3,10663.0,Supp,KBS0802
Tube3,10784.0,Supp,KBS0802
Tube3,47142.5,Trap,KBS0802
Tube3,47289.0,Trap,KBS0802
Tube4,20138.5,Cells,KBS0802
Tube4,19260.0,Cells,KBS0802
Tube4,10762.5,Supp,KBS0802
Tube4,10950.0,Supp,KBS0802
Tube4,44312.0,Trap,KBS0802
Tube4,45810.5,Trap,KBS0802
Tube5,22380.5,Cells,KBS0802
Tube5,19393.0,Cells,KBS0802
Tube5,11166.5,Supp,KBS0802
Tube5,10908.0,Supp,KBS0802
Tube5,47873.5,Trap,KBS0802
Tube5,48216.0,Trap,KBS0802
Voucher,1035075,,
Control,42.50,,
