Day	Organism (KBS0715)	Dilution	# Colonies	CFU
1	Anc	1.00E-05	247	247000000
1	A-1	1.00E-05	175	175000000
1	B-1	1.00E-05	74	74000000
1	C-1	1.00E-05	214	214000000
3	Anc	1.00E-05	111	111000000
3	A-1	1.00E-05	78	78000000
3	B-1	1.00E-05	56	56000000
3	C-1	1.00E-05	35	35000000
6	Anc	1.00E-05	37	37000000
6	A-1	1.00E-05	33	33000000
6	B-1	1.00E-04	85	8500000
6	C-1	1.00E-05	66	66000000
8	Anc	1.00E-04	62	6200000
8	A-1	1.00E-04	52	5200000
8	B-1	1.00E-04	39	3900000
8	C-1	1.00E-04	152	15200000
10	Anc	1.00E-04	105	10500000
10	A-1	1.00E-04	96	9600000
10	B-1	1.00E-04	27	2700000
10	C-1	1.00E-04	225	22500000
12	Anc	1.00E-04	147	14700000
12	A-1	1.00E-04	189	18900000
12	B-1	1.00E-04	30	3000000
12	C-1	1.00E-04	302	30200000
20	Anc	1.00E-04	26	2600000
20	A-1	1.00E-03	163	1630000
20	B-1	1.00E-03	50	500000
20	C-1	1.00E-03	143	1430000
